"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"d73GSdazQBz7ca2BwWb3Qd","36653","","2009","C","USD","3859000.0"
"RJPyzctLbiQurjEfaKUZka","36353","","2010","C","USD","185935.2597"
"6Na9RSsdC7Zm5CJnvj7WjX","36063","","2009","C","USD","292765.0702"
"p4ywWRYKaDEUZnehJxqUK","35945","","2006","C","USD","833.8797063"
"sAALYK9GTmuXB46qzZGau","36792","","2012","C","USD","6723841734.0"
"VD2MKPwsxFkHqTgqkPRDYm","459","","2011","C","USD","6414573.805"
"ndiyo6atcQ94XxWMaVdVYQ","460","","2011","C","USD","298422148.1"
"hVPVHTPkE8DzXRmH9UUgSW","454","","2010","C","USD","9296.762985"
"TwXdRujz7FdUTVjmngw6G","30442","","2010","C","USD","18556338.92"
"BGSyhrYU5xof3n7bK5rQ3n","453","","2009","C","USD","585530.1404"
"p4gysrQ2XHnqC9Vh3jnfXL","31415","","2008","C","USD","2273538.84"
"96ra8YYXSW4V2Mb3Y9efBh","19149","","2008","C","USD","223458953.0"
"iULyFQEwXXinJGuYYfd6d7","134","","2008","C","USD","35650926.49"
"PiNNV9mVxWdwK8CaeUocaj","449","","2008","C","USD","35389426.95"
"cGQHzHduVtWRdrYwKE29BQ","450","","2007","C","USD","7159948645.0"
"8nUQkGiDRQZjLgorn5uaCX","413","","2006","C","USD","1749540.743"
"HR8iM8aeADY2LBvHLNLah8","31652","","2006","C","USD","4037401.714"
"8uPphmx6Y9feYYttQyjbYG","407","","2006","C","USD","6056102.571"
"BP4G8pP4a63R7YHMKqHbYG","19663","","2006","C","USD","2956720.404"
"C6vgnUsiZxJinHEfPzcagJ","76","","2005","C","USD","2368474.146"
"gGTsHzwKXqrcC5bEzyiDyF","438","","2004","C","USD","10923449.36"
"xWT63MznE6nt6Ku4tw8eZa","13059","","2003","C","USD","1167839.224"
"CeBj2e2mjBiLmnm5NgcvXS","432","","2003","C","USD","3892885.318"
"4Hu33aAAxdiR5RBfYpS9ei","31659","","2001","C","USD","22097965.52"
"6znKMeo52qZFEPbUmw5u64","31508","","2000","C","USD","1025004.073"
"xFvChWEfMgyxFvNG2ZRaSh","382","","2000","C","USD","16401473.36"
"BCAoyZaVA7XWjBvZotLf6N","35728","","2003","C","USD","4027694.314"
"bzRWyfCFwkp9DkpNKmT8Xn","35733","","2003","C","USD","4027694.314"
"tKSrLAGmjjvtrAhhpmVeX","35773","","2003","C","USD","1611077.726"
"mU47sgCyMFyzWprhpmU8ZB","36012","","2006","C","USD","1884120.8"
"SyWWJNhNFWZxJCnA6pW9gD","35867","","2009","C","USD","18000000.0"
"mc5esdc95naB7WDCfxyT2J","35851","","2009","C","USD","4300000.0"
"B7YVMB6Zhx3KCr7tVSrWWL","35845","","2009","C","USD","2900000.0"
"CdrNxecXqFDcbitKkebkVE","35844","","2009","C","USD","1400000.0"
"gF2iCPGtXdDyx4dMtb2tKi","35865","","2010","C","USD","929676298.5"
"kXQNEttJAfXHn2csVdtAMa","35943","","2010","C","USD","2746349.649"
"rhthhrhhy5vpwrodY2ntBn","39281","","2012","C","USD","201715252.0"
"5Xei8eAM3N7KeyVLW2ooGb","35848","","2010","C","USD","1564408143.0"
"fDDGn26BpAkJ4hKyD8CHeW","35818","","2010","C","USD","577979754.8"
"KrKNEHF2DeKdZjcZJ2kBYo","35950","","2011","C","USD","1657900823.0"
"QvqfeNaGPrNCozUVAMuvJn","35982","","2011","C","USD","472501734.5"
"49iv6LYZySEteZkUeW4BeK","35977","","2013","C","USD","73394495.41"
"yGKqz2eEtGLJWxQyjHuEES","36002","","2013","C","USD","1284403670.0"
"WzNjgwUkxXEZoJVsPjsB9f","35781","","2004","C","USD","723295209.8"
"piF6HY99ME8DFEySKTtjNd","35815","","2006","C","USD","1614960.686"
"PnvPZ3Gag6PkSG5mZBL9dW","35820","","2009","C","USD","1000000000.0"
"TUNztgqQEP5r4LgHMihvMB","35722","","2002","C","USD","66125438.1"
"iLpx5Ud96aQK4mZQWf5zfE","39424","","2002","C","USD","4959407.857"
"mUZExpeEkVYvHBnzUCmCcB","38675","","2001","C","USD","179584105.8"
"RmMKX2qTiWrEUQRwDJsKqV","33729","","2004","C","USD","2366765.331"
"UezDG7ssDF9XFrZPprgNRh","33752","","2004","C","USD","54464.1293"
"CXvR6T4MP677UeRFErxpwj","33755","","2004","C","USD","1820588.716"
"SSvCpBksLHVx8jgvtGLWeB","33757","","2004","C","USD","345911.8561"
"DXCyhPZsRz5uSABTyrxi9D","33768","","2005","C","USD","124364.9888"
"CH8fcGkPdy3hvfaWLETAFd","33773","","2006","C","USD","2153280.914"
"HERfvMynvs8bpryHDSvCW5","33809","","2006","C","USD","752302519.3"
"8rTPV9JwmXtdSRDNURJAKB","33765","","2006","C","USD","24224410.28"
"eYE8SopwN5NPTQCtKUwBwe","38800","","2006","C","USD","60561025.71"
"AZ9S23uWCSHfDWkpCw8NA7","33815","","2007","C","USD","794425.3394"
"o7odjU6iXSeaKbkTUnzaAA","33800","","2007","C","USD","107399229.7"
"RHUZ25yWhGNPyNkvbJyqhL","33818","","2007","C","USD","59666.23871"
"AqTz2kgAVrRaw7obQwTHWB","38459","","2007","C","USD","119332.4774"
"BTDVDdzKsi47Nx8bNe2tQK","38715","","2007","C","USD","2028652116.0"
"m9V4QBVHK3UyRbCGx8QuLV","38453","","2008","C","USD","101112.6484"
"k7DrQShgBduMSvfiKW3zY8","38461","","2008","C","USD","101112.6484"
"GENH2Cdmv4oZRLSpXCKZL7","33793","","2009","C","USD","44000.0"
"5aUfgwdS3hsTjwZ5vw5ehF","35713","","2010","C","USD","46483814.93"
"JbxLCUE4ufUa4GinxooWqb","33822","","2010","C","USD","95756658.75"
"YHVkXiuDPjarjDVc9gZtgY","35757","","2011","C","USD","57731164.25"
"RD6PEBCnbZ98V3geCkmqXS","35764","","2011","C","USD","285987891.9"
"fLr2YoHRvKE4BK2PGbHrQb","38960","","2011","C","USD","11190.83055"
"kn5oYyzKrGqf6LjJNewyjR","33762","","2011","C","USD","24868.51234"
"BRp4TSeoFrR8ZLFkq5yXaC","33824","","2011","C","USD","75848962.64"
"rhqRLtJUCmahY5D7FwPcn6","33769","","2011","C","USD","828950411.4"
"ayk4YQ873YwLP5rGpTZb5U","38966","","2012","C","USD","92452.82385"
"Q3aH4qoE549V4rKhSMBY5T","35762","","2012","C","USD","265927.9202"
"oYSVEmoEVvTxGGYemTLAXj","35714","","2012","C","USD","554716943.1"
"vfi8o7yEnpkq5KQewnegPc","35711","","2012","C","USD","24752142.38"
"mTTqyzAcBrN9RtjL9WsjqH","33726","","2012","C","USD","4202401084.0"
"NP7miXXzZuouTwuZ3iEQ2a","34079","","2000","C","USD","29703068.26"
"3f8PArpaNPgLpZ7VYuUXmE","34128","","2000","C","USD","254586.8729"
"v7wUBPDNtcaPQoBDjmHqJC","34107","","2000","C","USD","152752123.7"
"GosXxrnMuk3pbbzWQ24Roa","34120","","2000","C","USD","205018417.0"
"fRBbtdotYeeKSCgKmBeRXV","34111","","2000","C","USD","203669498.3"
"jgUTvmn7MYbekREN8K5eBc","34215","","2002","C","USD","119025788.6"
