"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness"
"32454","32454_7647528","3","7647528","Stueng Traeng","13.65","106.07","ADM2","second-order administrative division","6295630|6255147|KH|17|7647528","Earth|Asia|Cambodia|Stung Treng|Stueng Traeng","1","1"
"32146","32146_7647528","3","7647528","Stueng Traeng","13.65","106.07","ADM2","second-order administrative division","6295630|6255147|KH|17|7647528","Earth|Asia|Cambodia|Stung Treng|Stueng Traeng","1","2"
"32081","32081_7647528","3","7647528","Stueng Traeng","13.65","106.07","ADM2","second-order administrative division","6295630|6255147|KH|17|7647528","Earth|Asia|Cambodia|Stung Treng|Stueng Traeng","1","1"
"32168","32168_7647212","3","7647212","Svay Pao","13.085","103.18","ADM2","second-order administrative division","6295630|6255147|KH|29|7647212","Earth|Asia|Cambodia|Battambang|Svay Pao","1","1"
"37190","37190_3667630","3","3667630","Tabio","4.93513","-74.10211","ADM2","second-order administrative division","6295630|6255150|CO|33|3667630","Earth|South America|Colombia|Cundinamarca|Tabio","1","1"
"34474","34474_8609067","3","8609067","Tam Dương District","21.36189","105.5569","ADM2","second-order administrative division","6295630|6255147|VN|86|8609067","Earth|Asia|Vietnam|Tỉnh Vĩnh Phúc|Tam Dương District","1","1"
"32996","32996_149601","3","149601","Tanga City Council","-5.11574","39.02753","ADM2","second-order administrative division","6295630|6255146|TZ|18|149601","Earth|Africa|Tanzania|Tanga|Tanga City Council","1","1"
"32146","32146_7647525","3","7647525","Tboung Khmum","11.98","105.65","ADM2","second-order administrative division","6295630|6255147|KH|02|7647525","Earth|Asia|Cambodia|Kampong Cham Province|Tboung Khmum","1","2"
"35272","35272_7647525","3","7647525","Tboung Khmum","11.98","105.65","ADM2","second-order administrative division","6295630|6255147|KH|02|7647525","Earth|Asia|Cambodia|Kampong Cham Province|Tboung Khmum","1","1"
"37190","37190_3667292","3","3667292","Tenjo","4.8232","-74.16568","ADM2","second-order administrative division","6295630|6255150|CO|33|3667292","Earth|South America|Colombia|Cundinamarca|Tenjo","1","1"
